City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,45.91,93,100,13.8,US,1698509507
1,waitangi,-43.9535,-176.5597,48.81,83,35,5.99,NZ,1698509507
2,sawakin,19.1059,37.3321,86.25,67,22,14.12,SD,1698509508
3,port-aux-francais,-49.35,70.2167,41.29,98,100,17.76,TF,1698509508
4,fortuna,40.5982,-124.1573,40.12,100,40,9.22,US,1698509509
5,nova sintra,14.8667,-24.7167,75.4,77,49,19.95,CV,1698509509
6,fale old settlement,-9.3852,-171.2468,81.95,76,43,6.24,TK,1698509509
7,edinburgh of the seven seas,-37.0676,-12.3116,58.06,91,100,13.22,SH,1698509510
8,hasaki,35.7333,140.8333,55.8,68,7,11.68,JP,1698509510
9,nagato,34.3833,131.2,61.54,65,63,13.24,JP,1698509510
10,grytviken,-54.2811,-36.5092,29.86,95,100,6.55,GS,1698509511
11,winnemucca,40.973,-117.7357,30.25,59,0,13.8,US,1698509445
12,tinajo,29.0788,-13.7081,72.48,73,20,16.11,ES,1698509511
13,blackmans bay,-43.0167,147.3167,50.74,70,47,1.99,AU,1698509512
14,hermanus,-34.4187,19.2345,58.62,65,85,18.9,ZA,1698509512
15,aasiaat,68.7098,-52.8699,20.61,90,97,10.58,GL,1698509512
16,adamstown,-25.066,-130.1015,72.79,80,100,11.97,PN,1698509513
17,bredasdorp,-34.5322,20.0403,57.51,62,91,13.51,ZA,1698509513
18,del rio,29.3627,-100.8968,77.02,87,100,16.11,US,1698509514
19,box elder,41.5005,-112.8764,35.76,55,0,16.31,US,1698509514
20,enewetak,11.3474,162.3373,82.24,75,71,7.07,MH,1698509514
21,isangel,-19.55,169.2667,74.3,88,52,8.66,VU,1698509515
22,ushuaia,-54.8,-68.3,47.82,42,75,5.75,AR,1698509375
23,ribeira grande,38.5167,-28.7,66.6,63,40,17.27,PT,1698509515
24,gaspe,48.8334,-64.4819,60.6,92,100,6.55,CA,1698509412
25,zhosaly,45.4878,64.0781,55.76,56,51,3.74,KZ,1698509363
26,bay roberts,47.5999,-53.2648,56.14,99,100,3.0,CA,1698509517
27,margaret river,-33.95,115.0667,58.66,73,100,10.8,AU,1698509517
28,solok,-0.7918,100.6593,76.15,89,34,1.12,ID,1698509517
29,port arthur,38.8,121.2667,57.42,75,1,9.89,CN,1698509518
30,zouerate,22.7187,-12.4521,92.75,18,0,4.7,MR,1698509518
31,bilibino,68.0546,166.4372,-6.12,98,61,1.36,RU,1698509519
32,corinto,37.9407,22.9573,76.89,72,0,5.1,GR,1698509519
33,punta arenas,-53.15,-70.9167,42.12,48,95,3.2,CL,1698509520
34,bodden town,19.2833,-81.25,87.8,67,40,16.11,KY,1698509520
35,copala,16.65,-98.9833,82.13,75,99,3.31,MX,1698509521
36,sitka,57.0531,-135.33,42.69,81,75,4.61,US,1698509312
